False;6;secondAgeCenter20
False;6,7;secondAgeCenter19
False;7,8;secondAgeCenter18
False;8,9;secondAgeCenter17
False;9,10;secondAgeCenter16
False;10;secondAgeCenter15
True;11;secondAgeCenter14
True;11,12;secondAgeCenter13
True;12,13;secondAgeCenter12
True;13,14;secondAgeCenter11
True;14;secondAgeCenter10
False;15;secondAgeCenter9
False;15,16;secondAgeCenter8
False;16,17;secondAgeCenter7
False;17;secondAgeCenter6
True;18;secondAgeCenter5
True;18,19;secondAgeCenter4
True;19;secondAgeCenter3
False;;secondAgeCenter2
False;;secondAgeCenter1
