False;2,3;firstAgeCenter20
False;3,4;firstAgeCenter19
True;5,6;firstAgeCenter18
True;6,7;firstAgeCenter17
True;7,8;firstAgeCenter16
False;9,10;firstAgeCenter15
False;10,11;firstAgeCenter14
False;11,12;firstAgeCenter13
False;12,13;firstAgeCenter12
True;14,15;firstAgeCenter11
True;15,16;firstAgeCenter10
True;16,17;firstAgeCenter9
True;17,18;firstAgeCenter8
True;18,19;firstAgeCenter7
False;;firstAgeCenter6
False;;firstAgeCenter5
False;;firstAgeCenter4
False;;firstAgeCenter3
False;;firstAgeCenter2
False;;firstAgeCenter1
