False;2,3;thirdAgeCenter20
False;3,4;thirdAgeCenter19
True;5,6;thirdAgeCenter18
True;6,7;thirdAgeCenter17
True;7,8;thirdAgeCenter16
False;9;thirdAgeCenter15
False;9;thirdAgeCenter14
False;10;thirdAgeCenter13
False;10;thirdAgeCenter12
True;11,12;thirdAgeCenter11
True;13,14;thirdAgeCenter10
False;15;thirdAgeCenter9
False;15,16;thirdAgeCenter8
False;16,17;thirdAgeCenter7
False;17;thirdAgeCenter6
True;18;thirdAgeCenter5
True;18,19;thirdAgeCenter4
True;19;thirdAgeCenter3
False;;thirdAgeCenter2
False;;thirdAgeCenter1
